customerNumber,description,amount,tag
1341936022,Primark,-25.28,Clothing
1341936022,Superdrug,-13.94,Healthcare
1341936022,Arriva Wales,-1.81,Transport
1341936022,Three Mobile,-3.59,Mobile
1341936022,Denise Patterson,0.66,-
1341936022,Interest,9.85,-
1341936022,Sports Direct,-28.42,Clothing
1341936022,Cancer Research,-3.38,Charity
1341936022,Shelter,-4.89,Savings
1341936022,Alan Scott,2.69,-
1341936022,Paintball UK,-1.4,Entertainment
1341936022,Arriva Wales,-2.37,Transport
1341936022,Paintball UK,-32.2,Entertainment
1341936022,Brenda Ward,0.89,-
1341936022,Paintball UK,-14.89,Entertainment
1341936022,Primark,-32.1,Clothing
1341936022,Payment received thank you,-0.57,Credit Repayment
1341936022,Payment received thank you,0.57,Credit Repayment
1341936022,Subway,-6.68,Food
1341936022,Sports Direct,-17.93,Clothing
1341936022,Oxfam,-0.01,Charity
1341936022,Thames Water,-30.32,Water
1341936022,Interest,9.75,-
1341936022,MegaBus,-11.64,Transport
1341936022,Lori Alexander,7.91,-
1341936022,Arriva Wales,-0.01,Transport
1341936022,Save the Children,-11.14,Savings
1341936022,Nicole Bailey,3.76,-
1341936022,Alan Scott,1.61,-
1341936022,Hitachi Personal Finance,-8.85,Debt
1341936022,Arriva Wales,-5.7,Transport
1341936022,Bodyshop,-9.61,Healthcare
1341936022,Arriva Wales,-19.67,Transport
1341936022,Alan Scott,3.12,-
1341936022,Shelter,-14.06,Charity
1341936022,Interest,7.97,-
1341936022,Payment received thank you,-4.48,Credit Repayment
1341936022,Arriva Wales,-6.96,Transport
1341936022,Payment received thank you,4.48,Credit Repayment
1341936022,Save the Children,-4.41,Charity
1341936022,Shelter,-5.19,Charity
1341936022,McColls,-20.12,Food
1341936022,Alan Scott,1.74,-
1341936022,Denise Patterson,24.14,-
1341936022,Brenda Ward,0.43,-
1341936022,Superdrug,-7.3,Healthcare
1341936022,McColls,-24.11,Food
1341936022,M5 GoKarting,-22.02,Entertainment
1341936022,Bodyshop,-43.26,Healthcare
1341936022,Nicole Bailey,1.07,-
1341936022,RSPCA,-4.57,Charity
1341936022,Rent,-940,Housing
1341936022,Subway,-8.34,Food
1341936022,Sports Direct,-22.12,Clothing
1341936022,Subway,-24.3,Food
1341936022,Denise Patterson,4.73,-
1341936022,McColls,-26.96,Food
1341936022,Save the Children,-14.99,Savings
1341936022,Cancer Research,-8.34,Charity
1341936022,Interest,1.47,-
1341936022,Paintball UK,-7.35,Entertainment
1341936022,American Express,-0.01,Debt
